#{"t_start": 1684436456.7797196, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
15.0,9,123.500529,0,1,0
5.0,9,123.545009,0,0,0
5.0,11,123.592877,0,1,0
5.0,10,123.658227,0,2,0
2.0,15,123.765832,0,3,0
19.0,9,123.833194,0,1,0
-4.0,6,123.862273,0,3,0
20.0,15,123.931672,0,1,0
10.0,13,124.061431,0,3,0
6.0,10,124.127898,0,2,0
10.0,13,124.209452,0,0,0
-1.0,8,124.255249,0,3,0
16.0,2,124.265532,7,1,0
1.0,16,124.336809,0,2,0
1.0,12,148.057207,0,0,0
12.0,1,148.063728,7,1,0
0.0,8,148.121668,0,0,0
-4.0,17,148.224945,0,2,0
-4.0,9,148.278266,0,3,0
-5.0,21,148.457352,0,1,0
-10.0,11,148.526359,0,0,0
9.0,16,148.629366,0,3,0
0.0,15,148.697101,0,2,0
5.0,9,148.763682,0,1,0
9.0,14,148.849022,0,2,0
5.0,9,148.888324,0,2,0
6.0,12,148.961983,0,0,0
9.0,9,149.024922,0,2,0
-5.0,13,149.112785,0,3,0
10.0,17,149.203681,0,2,0
0.0,10,149.270401,0,2,0
10.0,13,149.359906,0,1,0
-4.0,10,149.419878,0,0,0
0.0,8,149.465692,0,0,0
-4.0,14,149.537889,0,0,0
-4.0,13,149.607766,0,1,0
0.0,12,149.694793,0,2,0
0.0,21,149.918565,0,0,0
5.0,11,149.997615,0,1,0
4.0,11,150.056051,0,0,0
-7.0,18,150.140398,0,3,0
-4.0,10,150.199833,0,1,0
0.0,19,150.303698,0,1,0
-4.0,8,150.359931,0,0,0
10.0,13,150.4844,0,2,0
11.0,10,150.540553,0,2,0
0.0,9,150.589599,0,1,0
5.0,6,150.628503,0,0,0
6.0,20,150.773347,0,3,0
-1.0,10,150.842208,0,1,0
-4.0,11,150.925559,0,2,0
4.0,16,151.006702,0,1,0
5.0,13,151.085914,0,3,0
14.0,10,151.166019,0,1,0
10.0,11,151.235813,0,0,0
4.0,8,151.275106,0,1,0
0.0,12,151.478232,0,2,0
2.0,12,151.553885,0,3,0
6.0,14,151.640568,0,1,0
10.0,18,151.800242,0,1,0
5.0,9,151.89423,0,4,0
5.0,7,151.95101,0,3,0
