#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
9.4,16,1534.083393,True
9.6,14,1534.336068,True
9.5,15,1534.734652,True
9.6,14,1534.986471,True
9.6,14,1535.233979,True
9.2,18,1535.550367,True
9.4,16,1535.827793,True
9.5,15,1536.094772,True
9.4,16,1536.374793,True
9.6,14,1536.628919,True
9.2,18,1536.954919,True
9.4,16,1537.230065,True
9.3,17,1537.520713,True
9.5,15,1537.767091,True
9.2,18,1538.177764,True
9.0,20,1538.513208,True
8.8,22,1538.880539,True
9.2,18,1539.198152,True
9.6,14,1539.455173,True
9.3,17,1539.738648,True
9.4,16,1540.019401,True
9.5,15,1540.285607,True
9.4,16,1540.563544,True
9.3,17,1540.864954,True
9.2,18,1541.183745,True
9.5,15,1541.439821,True
9.4,16,1541.716837,True
9.2,18,1542.027421,True
9.6,14,1542.268781,True
9.1,19,1542.604767,True
9.1,19,1542.93691,True
9.1,19,1543.248421,True
9.5,15,1543.491374,True
9.5,15,1543.744644,True
9.2,18,1544.048504,True
9.2,18,1544.399545,True
9.0,20,1544.743405,True
9.3,17,1545.032307,True
9.1,19,1545.380092,True
9.4,16,1545.657115,True
9.5,15,1545.937422,True
9.5,15,1546.19954,True
9.1,19,1546.522746,True
9.3,17,1546.78844,True
9.0,20,1547.12302,True
9.6,14,1547.35676,True
9.6,14,1547.590912,True
9.5,15,1547.849137,True
9.6,14,1548.083128,True
9.5,15,1548.325092,True
9.4,16,1548.624332,True
9.6,14,1548.873341,True
9.5,15,1549.244993,True
9.6,14,1549.500498,True
9.2,18,1549.797396,True
9.6,14,1550.016863,True
9.4,16,1550.268522,True
9.6,14,1550.497764,True
-7.0,70,1551.696003,False
9.5,15,1551.959023,True
9.6,14,1552.185084,True
9.3,17,1552.464945,True
9.6,14,1552.687839,True
9.6,14,1552.919762,True
9.6,14,1553.170633,True
9.3,17,1553.459495,True
9.4,16,1553.734835,True
9.2,18,1554.068617,True
9.6,14,1554.330634,True
9.4,16,1554.611059,True
9.6,14,1554.837647,True
9.6,14,1555.053478,True
9.5,15,1555.289673,True
9.5,15,1555.514017,True
9.5,15,1555.734897,True
9.4,16,1555.981236,True
9.5,15,1556.215559,True
9.1,19,1556.53319,True
9.3,17,1556.80009,True
9.2,18,1557.090351,True
9.5,15,1557.32926,True
9.4,16,1557.592143,True
9.0,20,1557.908474,True
9.0,20,1558.22711,True
9.6,14,1558.462451,True
9.6,14,1558.676828,True
9.4,16,1558.907439,True
9.3,17,1559.170166,True
9.5,15,1559.522026,True
9.6,14,1559.757269,True
9.6,14,1559.991622,True
9.4,16,1560.257592,True
9.3,17,1560.518485,True
9.5,15,1560.73887,True
9.6,14,1560.956582,True
9.4,16,1561.213868,True
9.6,14,1561.453229,True
9.0,20,1561.768861,True
9.4,16,1562.005443,True
9.1,19,1562.311617,True
9.5,15,1562.557783,True
9.4,16,1562.83736,True
9.3,17,1563.127107,True
9.1,19,1563.479012,True
9.5,15,1563.732297,True
9.4,16,1564.018797,True
9.6,14,1564.262713,True
9.4,16,1564.538821,True
8.9,21,1564.894882,True
9.4,16,1565.171313,True
9.0,20,1565.509551,True
9.6,14,1565.734336,True
9.4,16,1565.983239,True
9.4,16,1566.281055,True
9.5,15,1566.551547,True
9.2,18,1625.585378,True
9.3,17,1625.904319,True
9.2,18,1626.432406,True
9.2,18,1626.770624,True
8.7,23,1627.180738,True
9.3,17,1627.489974,True
9.5,15,1627.767726,True
8.1,29,1628.284897,True
8.4,26,1628.727629,True
9.3,17,1629.13677,True
9.3,17,1629.428455,True
9.3,17,1629.724017,True
8.3,27,1630.217249,True
9.0,20,1630.573537,True
8.5,25,1631.015506,True
7.7,33,1631.621522,True
8.9,21,1631.977119,True
7.9,31,1632.541777,True
8.9,21,1632.941218,True
9.6,14,1633.181326,True
9.2,18,1633.500365,True
9.0,20,1633.880203,True
8.7,23,1634.292523,True
7.3,37,1634.930534,True
8.5,25,1635.339855,True
9.6,14,1635.582582,True
9.4,16,1635.861167,True
9.4,16,1636.128914,True
8.3,27,1636.580551,True
8.1,29,1637.081399,True
9.0,20,1637.410078,True
9.0,20,1637.748811,True
9.3,17,1638.056305,True
9.0,20,1638.420851,True
8.7,23,1638.806176,True
9.2,18,1639.09108,True
9.5,15,1639.353204,True
8.9,21,1639.690377,True
9.4,16,1639.937184,True
8.9,21,1640.368089,True
9.3,17,1640.648711,True
9.5,15,1640.899426,True
9.2,18,1641.200657,True
